run,epoch,context,mean_support_mass,count
g0.1_d0.05_t0.005,20,<BOS> <BOS> <BOS> <BOS> why I,0.024896952268511855,25
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> dream follow dream,2.574915067197269e-05,3
g0.05_d0.05_t0.01,20,<BOS> <BOS> why dream is alive,0.0002205709902429127,1
g0.05_d0.05_t0.01,20,<BOS> <BOS> why dream is bright,0.00024170248396193864,1
g0.05_d0.05_t0.01,20,<BOS> <BOS> why I am strange,0.012000336531036547,5
g0.05_d0.05_t0.01,20,<BOS> <BOS> why I am lost,0.012996210995278834,2
g0.05_d0.05_t0.01,20,<BOS> <BOS> why I am alive,0.013535018307259469,3
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> fire remember,0.017251754414311864,15
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> signal remember,0.01733058313416178,14
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> river remember,0.017658872145092527,9
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> city remember,0.017666123780417067,14
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> robot remember,0.01783815319486034,5
g0.05_d0.05_t0.01,20,<BOS> <BOS> <BOS> <BOS> dream remember,0.01811380793140554,9
